country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,10.1,7.19,11.8,9.32,10.1,18.8,18.9,15.5,13.3,18.2,19.1,,19.6,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,15.1,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,127,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,,83.7,72.4,64.6,57.5,60.8,59.3,48.1,46.9,47.6,45.8,50.3,50.6,,53.4,57.9,55.1,54.7,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,34.1,36,32.1,28.6,,25.7,,,,,,42.7,41.2,38.5,32.3,35.3,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,541,,726,,,632,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,85.1,82.7,74.3,91.4,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,37.3,41.7,36.1,32.5,32.3,32.4,30.5,33,39,,37.8,41.4,43.9,37.1,,38.5,34.5,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,18.3,20,16.5,17.1,19,17.8,18.6,,,,,29.2,,,,,25.2,25.4,
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,20,21.9,20.4,21.2,21.5,19.4,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,,,,,,,,,,40,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4,32.2,32.4,30.2,32.6,34.2,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,146,263,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,121,188,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,38.2,40,,46.8,48
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,,167,161,,,,,
